Наименование предмета,Уровень,Класс,Характеристики/Описание,Иконки
Каско-шлемо-маска,1,,"Все статы +10
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Броне-комбез,1,,"Все статы +5
Хп +250
Атака +30
Защита +3
Скорость бега +15
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Броне-скафандр,1,,"Все статы +15
Хп +250
Атака +30
Защита +3
Сопротивление урону +0,02
Увеличение всего урона +0,02
Скорость бега +20
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 2|r",
Магический амулет,1,,"Регенерация мп +0,15
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Красивая подвеска,1,,"Регенерация хп +2
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряная подвеска,1,,"Регенерация хп +3
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряный амулет,1,,"Регенерация мп +0,2
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Полуфилософский камень,1,,"Регенерация хп +3
Регенерация мп +0,2
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Философский камень,1,,"Хп +100
Регенерация хп +3
Регенерация мп +0,2
(Актив): Превратить в золото. Кд 25 сек.
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Книга Времени (1й том),10,,"Основной стат +20
Удача +1
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1 Книги|r",
Мультисталь,,,,BTNElemental Stone.blp
Ружьё,1,Снайпер и Сталкер,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Снайпер и Сталкер|r
|cffff0000Не более 1|r",
Базука,1,Ракетчик,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Ракетчик|r
|cffff0000Не более 1|r",
Огнемет,1,Пироманьяк,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Пироманьяк|r
|cffff0000Не более 1|r",
Пулемёт,1,Пулеметчик,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Пулеметчик|r
|cffff0000Не более 1|r",
Питарды,1,Подрывник,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Подрывник|r
|cffff0000Не более 1|r",
Шарострел,1,Медик и Инженер,"Основной стат +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Только для Медик и Инженер|r
|cffff0000Не более 1|r",
Арканитовое ружье,5,Снайпер и Сталкер,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Снайпер и Сталкер|r
|cffff0000Не более 1|r",
Арканитовая ракетница,5,Ракетчик,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Ракетчик|r
|cffff0000Не более 1|r",
Арканитовый огнемёт,5,Пироманьяк,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Пироманьяк|r
|cffff0000Не более 1|r",
Арканитовый пулемёт,5,Пулеметчик,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Пулеметчик|r
|cffff0000Не более 1|r",
Арканитовые гранаты,5,Подрывник,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Подрывник|r
|cffff0000Не более 1|r",
Арканитовый шарострел,5,Медик и Инженер,"Основной стат +15
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Только для Медик и Инженер|r
|cffff0000Не более 1|r",
Самозарядный дробовик,10,Сталкер,"Основной стат +30
Защита +6
Радиус +100
Устойчивость к магии +0,05
Сопротивление к физ. урону +0,05
Блокирование 20
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Сталкер|r
|cffff0000Не более 1|r",
Элитная снайперка,10,Снайпер,"Основной стат +30
Атака +20
Скорость атаки +0,2
Радиус +300
Увеличение физ. урона +0,03
(Актив): Повышает скорость атаки до максимума на 4 атаки, но понижает скорость бега на 100%. Кд 25.
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Снайпер|r
|cffff0000Не более 1|r",
Базука бомбера,10,Ракетчик,"Основной стат +30
Атака +60
Скорость атаки +0,2
Защита +3
Радиус +100
Сопротивление к физ. урону +0,05
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Ракетчик|r
|cffff0000Не более 1|r",
Мехо-пак,10,Инженер,"Основной стат +30
Скорость атаки +0,2
Радиус +100
Скорость бега +20
Аура (регенерация хп зданиям) +5
Удача +2
(Актив): Призыв Дирижабля. Атака = Разум х2, 
Хп = Инженер/2, Аура (урона) +4%
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Инженер|r
|cffff0000Не более 1|r",
Переносная мед-станция,10,Медик,"Основной стат +30
Хп +300
Защита +2
Радиус +100
Регенерация мп +0,2
Устойчивость к магии +0,07
Удача +1
(Пассив): Автохил союзника на 500 Хп раз в 8 сек.
(Актив): Восстановить 750 хп в АоЕ. Кд 10 сек.
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Медик|r
|cffff0000Не более 1|r",
Ядер-магическая бомба,10,Подрывник,"Основной стат +30
Мп +10
Защита +3
Радиус +100
Увеличение маг. урона +0,05
(Пассив): Каждый каст скилла дает 2 маны.
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Подрывник|r
|cffff0000Не более 1|r",
Пулемётная лента,10,Пулеметчик,"Основной стат +30
Атака +40
Скорость атаки +0,3
Стан +4%, 0,4 сек
Защита +2
Радиус +100
Скорость бега +20
Аура (увеличение атаки) 3% всем, себе и подконтрольным юнитам в 2 раза больше
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Пулеметчик|r
|cffff0000Не более 1|r",
Огнемётное охлаждение,10,Пироманьяк,"Основной стат +30
Скорость атаки +0,2
Защита +1
Радиус +100
(Пассив): Увеличивает кап скорости атаки на 5%. 5% шанс при атаке восполнить 30 хп и 5 маны.
|cffff0000Доступен с 10 уровня|r
|cffff0000Только для Пироманьяк|r
|cffff0000Не более 1|r",
Рубиновое колечко,5,,"Хп +100
Регенерация хп +2
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Рубиновое кольцо,10,,"Хп +175
Регенерация хп +3
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Рубиновый перстень,15,,"Хп +250
Регенерация хп +4
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Сапфировое колечко,5,,"Мп +5
Регенерация мп +0,05
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Сапфировое кольцо,10,,"Мп +10
Регенерация мп +0,1
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Сапфировый перстень,15,,"Мп +15
Регенерация мп +0,15
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Алмазное колечко,5,,"Атака +30
Скорость атаки +0,1
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Алмазное кольцо,10,,"Атака +45
Скорость атаки +0,15
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Алмазный перстень,15,,"Атака +60
Скорость атаки +0,2
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Аметистовое колечко,5,,"Крит Урон +0,1
Крит Шанс +0,03
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Аметистовое кольцо,10,,"Крит Урон +0,15
Крит Шанс +0,04
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Аметистовый перстень,15,,"Крит Урон +0,2
Крит Шанс +0,05
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Топазовое колечко,5,,"Радиус +100
(Пассив): Каждые 10 сек даёт Щит на 100 ед.
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Топазовое кольцо,10,,"Радиус +200
(Пассив): Каждые 10 сек даёт Щит на 250 ед.
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Топазовый перстень,15,,"Радиус +300
(Пассив): Каждые 10 сек даёт Щит на 350 ед.
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Изумрудное колечко,5,,"Сопротивление урону +0,02
Скорость бега +10
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Изумрудное кольцо,10,,"Сопротивление урону +0,04
Скорость бега +15
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Изумрудный перстень,15,,"Сопротивление урону +0,06
Скорость бега +20
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Радужный камень,10,,"Все статы +25
Хп +150
Защита +3
Регенерация хп +3
Удача +1
(Актив): Превратить в золото
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Радужный скелет,20,,"Все статы +40
Хп +350
Атака +50
Защита +5
Регенерация хп +5
Регенерация мп +0,1
Сопротивление урону +0,04
Увеличение всего урона +0,04
Скорость бега +30
Удача +1
(Актив): Превратить в золото (Тройная сила)
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1|r",
Мультицвет,5,,"Все статы +15
Защита +3
Удача +1
|cffff0000Доступен с 5 уровня|r
|cffff0000Не более 1|r",
Лапа гигантского арахнида,,,,
Голова гигантского арахнида,,,,
Клешня гигантского арахнида,,,,
Жало гигантского арахнида,,"Сталкер, Медик, Снайпер, Пулеметчик","Основной стат +20
|cffff0000Только для Сталкер, Медик, Снайпер, Пулеметчик|r
",BTNPoisonSting.blp
Бронежилет с лапой арахнида,10,,"Ловкость +20
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Бронежилет с головой арахнида,10,,"Разум +20
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Бронежилет с клешней арахнида,10,,"Сила +20
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Арахнидские перчатки,10,,"Атака +55
Скорость атаки +0,1
(Актив): Повышает скорость атаки на 0.3 на 5 сек. Кд 18 сек.
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Арахнидские сапоги,10,,"Основной стат +20
Скорость бега +25
(Актив): Повышает скорость бега на 70 на 5 сек. Кд 18 сек.
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Арахнидский шлем,10,,"Хп +200
Радиус +250
(Актив): Восстанавливает 400 хп и 10 мп. Кд 18 сек.
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Заготовка для амулета,,,,BTNteethNeck02.blp
Заготовка для кольца,,,,BTNbelt1.blp
Заготовка для талисмана,,,,BTNteethNeck01.blp
Амулет из головы арахнида,10,,"Защита +4
Аура (Скорость бега) +10. (Процент регенерации хп) +0,15
Удача +1
(Актив): Накладывает щит на 800 хп на союзника на 15 сек. Кд 30 сек.
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",BTNSnakeEyeAmulet.blp
Кольцо из клешни арахнида,10,,"Атака +100
(Актив): Увеличивает исходящий урон на 10%. Длительность 5 сек.  Кд 25 сек
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",BTNWartwoven Ring.blp
Талисман из лапы арахнида,10,,"Хп +400
Регенерация хп +10
Блокирование 10
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",BTNShakuras Shield.blp
Арахнидский доспех,10,,"Ловкость +30
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Каменный доспех,10,,"Сила +30
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Доспех Паучьего Жреца,10,,"Разум +30
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Реликварий Арахнидов(1),10,,"Основной стат +20
Хп +500
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",BTNInv_shield_75.blp
Сет Арахнида,10,,"Все статы +30
Атака +80
Радиус +300
Аура (Скорость атаки) +0,1. (Скорость бега) +30
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Книга Времени (2й том),15,,"Основной стат +35
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Свечка рабовладельца,,,"Радиус +100
Обнаружение +150
Регенерация хп +2
",
Рабские оковы,,,"Хп +200
(Актив): Заковывает в кандалы цель, не позволяя ей передвигаться на 5 сек. кд 30. Не работает на боссов
",BTNEnchantedChains.blp
"Одеколон ""Потный""",,"Пироманьяк, Подрывник, Рокетчик","Регенерация мп +0,15
(Актив): Владелец откупоривает сосуд, создавая на 4 секунд облако вонючего газа с радиусом 200, которое наносит (Основной стат Х 3) магического урона каждые 0.5 сек. кд 25 сек.
|cffff0000Только для Пироманьяк, Подрывник, Рокетчик|r
",BTNPoisonBottle.blp
Кирка рабовладельца,,Инженер,"Основной стат +30
Скорость атаки +0,2
|cffff0000Только для Инженер|r
",
Перчатка рабовладельца,,,"Скорость атаки +0,1
Крит Урон +0,1
",
Кольцо рабовладельца,15,,"Аура Уменьшение получаемого урона 5%
(Актив): Призывает раба с (основной стат) урон, и (50% от макс хп) хп на 15 сек. кд 30
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1 Реликвии|r",
Реликварий Арахнидов(2),20,,"Основной стат +35
Хп +800
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1 Сета|r",
Реликварий Рабовладельца(2),20,,"Атака +200
Скорость атаки +0,4
(Пассив): Уменьшает базовый интервал атак на 0.05
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1 Сета|r",BTNKoboldSlaveMaster.blp
Грозный Арахнидский доспех,15,,"Ловкость +40
Скорость атаки +0,3
(Пассив): Каждая атака раз в 0.5 сек дает стак, при достижений 10й стаков, предмет можно будет активировать. Увеличивает скорость атаки на 20% на 3 сек.
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",BTNRoyal Armor.blp
Грозный Каменный доспех,15,,"Сила +40
Защита +7
(Актив): Увеличивает хп-реген на 30% на 7 сек. Кд 25 сек.
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",BTNHalfArmor.blp
Грозный Доспех Паучьего Жреца,15,,"Разум +40
Регенерация мп +0,35
(Пассив): Раз в 10 секунд дает стак. Максимум 6 стаков.
(Актив): Увеличивает мп реген на (1 х стак) всем союзникам в радиусе 300. на 3 сек. 
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",BTNSavageKingArmor.blp
Арахнидский кастет,15,,"Атака +60
(Пассив): Каждые 6 сек. усиливает атаку: Усиленная атака наносит Основной стат х4 + Атака х0.33 урона в 150 АОЕ
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Сет Рабовладельца,20,,"Все статы +50
Обнаружение +200
Регенерация хп +20
Устойчивость к магии +0,05
Блокирование 40
(Актив): Заковывает в кандалы цель, не позволяя ей передвигаться, увеличивает ее наносимый урон на 10%, и уменьшает получаемый на 20% на 7 сек. кд 30. Дебафф не запрещает передвигаться боссу.
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1 Сета|r",
Зажигалка,20,Пироманьяк,"Сила +45
(Пассив): Атаки под усилением E дополнительно наносят 15% урона в радиусе 75
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Пироманьяк|r
|cffff0000Не более 1 Классового арта|r",
Бум-Стик А-2,20,Ракетчик,"Сила +45
(Пассив): При атаке с шансом 10% может сработать эффект Q с 50% уроном
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Ракетчик|r
|cffff0000Не более 1 Классового арта|r",
Мед-Протез,20,Медик,"Разум +45
(Пассив): Увеличивает радиус Q на 75
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Медик|r
|cffff0000Не более 1 Классового арта|r",
Мультикирка,20,Инженер,"Разум +45
(Пассив): Кол-во добываемой руды +1
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Инженер|r
|cffff0000Не более 1 Классового арта|r",BTN_CW_Pick_Axe.blp
Потная граната,20,Подрывник,"Разум +45
(Пассив): Увеличивает радиус Q на 20% и урон Q на 10%
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Подрывник|r
|cffff0000Не более 1 Классового арта|r",
Колючий шлем,20,Сталкер,"Сила +45
(Пассив): Применение Q накладывает на владельца слабое развеивание 
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Сталкер|r
|cffff0000Не более 1 Классового арта|r",BTNBloodlineCrest.blp
"Снайперка ""Скорпион""",20,Снайпер,"Ловкость +45
(Пассив): Увеличивает урон Q на 30%.
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Снайпер|r
|cffff0000Не более 1 Классового арта|r",BTNStaff_of_Lightning.BLP
Ручной акселератор,20,Пулеметчик,"Ловкость +45
(Пассив): Эффективность Е +10%
|cffff0000Доступен с 20 уровня|r
|cffff0000Только для Пулеметчик|r
|cffff0000Не более 1 Классового арта|r",
Лампа из черепа,15,,"Хп +300
Радиус +300
Обнаружение +200
Аура Регенерация хп +10
|cffff0000Доступен с 15 уровня|r
|cffff0000Не более 1|r",
Священный свет,20,,"Все статы +35
Радиус +450
Обнаружение +300
Удача +3
(Актив): Призыв арахнида-целителя
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1|r",
Перчатка Власти,20,,"Атака +100
Скорость атаки +0,2
Крит Урон +0,3
Крит Шанс +0,02
|cffff0000Доступен с 20 уровня|r
|cffff0000Не более 1|r",
Книга Времени (3й том),25,,"Основной стат +50
|cffff0000Доступен с 25 уровня|r
|cffff0000Не более 1 Книги|r",
Руна,,,,
Плазма,,,,Orb of Storm.blp
Броня Стража,,,,
Щит Стража,,,,
Душа Стража,,,,
Посох Стража,,"Рокетчик, Подрывник, Медик","Основной стат +50
|cffff0000Только для Рокетчик, Подрывник, Медик|r
",
Амулет Стража,25,,"Защита +10
Устойчивость к магии +0,05
Аура (Скорость бега) +15. (Процент регенерации хп) +0,25
Удача +2
(Актив): Создает барьер в виде купола радиусом 300 на 10 сек., который поглощает 30% получаемого гоблинами урона в сумме до (Макс.хп), после чего он исчезает. Кд 35 сек.
|cffff0000Доступен с 25 уровня|r
|cffff0000Не более 1 Реликвии|r",BTNHeroes_III_Art_050.blp
Сет Стража,30,,"Все статы +70
Основной стат +20
Регенерация мп +0,25
Скорость бега +25
(Актив): Запечатывает выбраного гоблина на 5 сек и создает в радиусе 250 от него на окружности равномерно три руны так же на 5 сек. При подборе руна восстанавливает 15 маны и 10% хп. Пока гоблин запечатан, он получает неуязвимость, но становится оглушен. Если подобрать все три руны, то с гоблина моментально спадет статус запечатан. Кд 75 сек.
|cffff0000Доступен с 30 уровня|r
|cffff0000Не более 1 Сета|r",
Броня Хранителя,30,,"Сила +35
Хп +400
Защита +4
Устойчивость к магии +0,07
Сопротивление к физ. урону +0,07
Скорость бега -15
(Актив): Накладывает на владельца слабое развеивание и дает щит на 15% от Макс. ХП. Длительность щита 8 сек, Кд 35 сек.
|cffff0000Доступен с 30 уровня|r
|cffff0000Не более 1|r",BTNHeroes_III_Art_051.blp
Статический браслет,25,,"Все статы +25
Скорость атаки +0,2
(Актив): Выпускает разряд, который наносит (Основной стат Х 20) маг урона в радиусе 300 и отталкивающий противников на 200 от гоблина. Кд 35
|cffff0000Доступен с 25 уровня|r
",BTNBrownBracer.blp
Сапоги призрака,25,,"Обнаружение +200
Устойчивость к магии +0,05
Увеличение маг. урона +0,05
Скорость бега +35
(Актив): Гоблин на 5 сек входит в астрал, с увеличенным на 20% мс но уменьшенным на 40% сопротивлением к магии и возможностью проходить сквозь существ. Кд 35
|cffff0000Доступен с 25 уровня|r
",BTNMagi Boots.blp
Восковой доспех,25,,"Хп +400
Защита +3
Блокирование 60
(Пассив): После получения атаки, уменьшает ас атакующего на 0.1 и мс на 10%
|cffff0000Доступен с 25 уровня|r
",BTNMetal Armor.blp
Реликварий Арахнидов(3),30,,"Основной стат +50
Хп +1100
|cffff0000Доступен с 30 уровня|r
|cffff0000Не более 1 Сета|r",
Реликварий Рабовладельца(3),30,,"Атака +350
Скорость атаки +0,4
(Пассив): Уменьшает базовый интервал атак на 0.1
|cffff0000Доступен с 30 уровня|r
|cffff0000Не более 1 Сета|r",BTNKoboldSlaveMaster.blp
Реликварий Стража(3),30,,"Мп +20
Регенерация мп +0,5
(Актив): Восполняет ману до максимума. Кд 75 сек.
|cffff0000Доступен с 30 уровня|r
|cffff0000Не более 1 Сета|r",
Усилитель,25,,"Ловкость +20
Атака +150
Крит Урон +0,15
(Пассив): Каждые 6 сек усиливает гоблина. Дает ему 20% увеличение всего урона до его следующей атаки или нажатой способности. 
|cffff0000Доступен с 25 уровня|r
|cffff0000Не более 1|r",
Мультиудочка,25,,"Основной стат -90
Хп +1300
(Актив): Шанс выудить рыбку - 100%. Может выловить некоторые ресурсы.
|cffff0000Доступен с 25 уровня|r
",
Обогощенный Арахнидский сплав,,,,BTNPhilosopher's Stone.blp
Зелье защиты,,,"(Актив): На 30 сек дает 20% сопротивления урону. КД 300 и общее между всеми зельями.
",
Зелье ловкости,,,"(Актив): На 30 сек дает 20% к ловкости. КД 300 и общее между всеми зельями.
",
Зелье скорости,,,"(Актив): На 30 сек дает 100 скорости передвижения и 0.5 ас. КД 300 и общее между всеми зельями.
",
Зелье жизни,,,"(Актив): На 30 сек дает +20% ХП. КД 300 и общее между всеми зельями.
",
Зелье интеллекта,,,"(Актив): На 30 сек дает +20% к интеллекту. КД 300 и общее между всеми зельями.
",
Зелье урона,,,"(Актив): На 30 сек дает  +20% увеличение физ. урона. КД 300 и общее между всеми зельями.
",
Зелье силы,,,"(Актив): На 30 сек дает +20% силы. КД 300 и общее между всеми зельями.
",
Зелье магии,,,"(Актив): На 30 сек дает +20% увеличение маг. урона. КД 300 и общее между всеми зельями.
",
Каратель,30,Сталкер,"Основной стат +75
Защита +12
Радиус +200
Устойчивость к магии +0,1
Сопротивление к физ. урону +0,1
Блокирование 100
Удача +2
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Сталкер|r
|cffff0000Не более 1|r",
Безмолвный палач,30,Снайпер,"Основной стат +75
Скорость атаки +0,4
Крит Урон +0,3
Крит Шанс +0,08
Защита +2
Радиус +500
Увеличение физ. урона +0,07
Удача +2
(Актив): Повышает кап ас на 40% и скорость атаки до максимума на 4 атаки, но понижает скорость бега на 100%. Кд 25.
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Снайпер|r
|cffff0000Не более 1|r",
Лютый,30,Пулеметчик,"Основной стат +75
Атака +110
Скорость атаки +0,6
Стан +4%, 0,4 сек
Защита +4
Радиус +200
Скорость бега +40
Аура (Увеличение Атаки и ХП) 8% всем, себе и своим подконтрольным юнитам в 2 раза больше.
Удача +2
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Пулеметчик|r
|cffff0000Не более 1|r",
